Speed

Station: 4948 speed scores and cummulative difference from calculated score
Entry,4948-1,4948-2,4948-3,Calc'd Score,4948-1 Diff,4948-2 Diff,4948-3 Diff
711 SRSS_M_15-16 ,82,82,82,82.0,0.0,0.0,0.0
83 SRSS_F_11 (S) ,61,61,61,61.0,0.0,0.0,0.0
690 SRSS_M_12 (S) ,48,48,48,48.0,0.0,0.0,0.0
112 SRSS_F_12 (S) ,54,55,54,54.0,0.0,1.0,0.0
722 SRSS_M_50+ ,61,61,63,61.0,0.0,0.0,2.0
212 SRSS_F_18 (S) ,80,71,79,79.5,0.5,8.5,0.5
701 SRSS_M_13 (S) ,55,56,56,56.0,1.0,0.0,0.0
234 SRSS_F_30-39 ,48,47,47,47.0,1.0,0.0,0.0
132 SRSS_F_13 (S) ,67,67,67,67.0,0.0,0.0,0.0
102 SRSS_F_12 (S) ,61,59,63,62.0,1.0,3.0,1.0
202 SRSS_F_17 (S) ,82,82,82,82.0,0.0,0.0,0.0
133 SRSS_F_13 (S) ,66,66,66,66.0,0.0,0.0,0.0
163 SRSS_F_14 (S) ,76,76,75,76.0,0.0,0.0,1.0
703 SRSS_M_14 (S) ,67,67,67,67.0,0.0,0.0,0.0
171 SRSS_F_15 (S) ,79,79,80,79.0,0.0,0.0,1.0
186 SRSS_F_16 (S) ,91,85,89,90.0,1.0,5.0,1.0
97 SRSS_F_12 (S) ,63,64,63,63.0,0.0,1.0,0.0

Station: 5001 speed scores and cummulative difference from calculated score
Entry,5001-1,5001-2,5001-3,Calc'd Score,5001-1 Diff,5001-2 Diff,5001-3 Diff
72 SRSS_F_11 (S) ,78,78,78,78.0,0.0,0.0,0.0
705 SRSS_M_14 (S) ,76,75,70,75.5,0.5,0.5,5.5
229 SRSS_F_20-29 ,78,76,78,78.0,0.0,2.0,0.0
871 SRSS_M_17-29 ,90,90,90,90.0,0.0,0.0,0.0
58 SRSS_F_11 (S) ,68,68,68,68.0,0.0,0.0,0.0
683 SRSS_M_11 (S) ,77,76,77,77.0,0.0,1.0,0.0
135 SRSS_F_13 (S) ,62,60,60,60.0,2.0,0.0,0.0
710 SRSS_M_15-16 ,79,78,80,79.5,0.5,1.5,0.5
158 SRSS_F_14 (S) ,56,58,55,55.5,0.5,2.5,0.5
125 SRSS_F_12 (S) ,61,60,60,60.0,1.0,0.0,0.0
182 SRSS_F_15 (S) ,72,73,71,72.5,0.5,0.5,1.5
127 SRSS_F_13 (S) ,87,87,87,87.0,0.0,0.0,0.0
189 SRSS_F_16 (S) ,96,95,95,95.0,1.0,0.0,0.0
674 SRSS_M_11 (S) ,72,72,72,72.0,0.0,0.0,0.0
686 SRSS_M_12 (S) ,52,54,52,52.0,0.0,2.0,0.0
90 SRSS_F_11 (S) ,57,57,56,57.0,0.0,0.0,1.0
196 SRSS_F_17 (S) ,52,52,52,52.0,0.0,0.0,0.0
702 SRSS_M_13 (S) ,56,57,56,56.0,0.0,1.0,0.0
210 SRSS_F_18 (S) ,85,85,85,85.0,0.0,0.0,0.0
110 SRSS_F_12 (S) ,62,62,61,62.0,0.0,0.0,1.0
240 SRSS_F_30-39 ,38,38,37,38.0,0.0,0.0,1.0
137 SRSS_F_13 (S) ,70,70,70,70.0,0.0,0.0,0.0
108 SRSS_F_12 (S) ,77,77,77,77.0,0.0,0.0,0.0
720 SRSS_M_50+ ,48,49,47,48.5,0.5,0.5,1.5

Station: 5006 speed scores and cummulative difference from calculated score
Entry,5006-1,5006-2,5006-3,Calc'd Score,5006-1 Diff,5006-2 Diff,5006-3 Diff
280 SRSE60_F_9 (S) ,124,122,122,122.0,2.0,0.0,0.0
263 SRSE60_F_8 ,81,77,80,80.5,0.5,3.5,0.5
747 SRSE60_M_10 (S) ,106,106,106,106.0,0.0,0.0,0.0
275 SRSE60_F_9 (S) ,72,69,72,72.0,0.0,3.0,0.0
299 SRSE60_F_10 (S) ,126,125,125,125.0,1.0,0.0,0.0
287 SRSE60_F_10 (S) ,103,101,103,103.0,0.0,2.0,0.0
726 SRSE60_M_7 and under ,79,79,78,79.0,0.0,0.0,1.0
739 SRSE60_M_9 (S) ,114,114,114,114.0,0.0,0.0,0.0
258 SRSE60_F_7 and under ,80,80,80,80.0,0.0,0.0,0.0

Station: 5044 speed scores and cummulative difference from calculated score
Entry,5044-1,5044-2,5044-3,Calc'd Score,5044-1 Diff,5044-2 Diff,5044-3 Diff
1243 SRSR_M_9-10 ,227,228,229,228.5,1.5,0.5,0.5
1235 SRSR_F_9-10 ,270,270,253,270.0,0.0,0.0,17.0
909 SRSR2x30_F_8 and under ,116,117,118,117.5,1.5,0.5,0.5
1290 SRSR_F_16+ (allow younger) ,352,354,351,351.5,0.5,2.5,0.5
1281 SRSR_M_12-15 ,307,310,297,308.5,1.5,1.5,11.5
912 SRSR2x30_M_8 and under ,89,84,86,85.0,4.0,1.0,1.0
1272 SRSR_F_12-15 ,265,265,248,265.0,0.0,0.0,17.0
1277 SRSR_X_12-15 ,302,302,301,302.0,0.0,0.0,1.0
1260 SRSR_X_11-12 ,240,233,232,232.5,7.5,0.5,0.5
1299 SRSR_X_16+ (allow younger) ,279,281,275,280.0,1.0,1.0,5.0
1300 SRSR_X_30+ ,222,222,207,222.0,0.0,0.0,15.0
1251 SRSR_F_11-12 ,260,260,261,260.0,0.0,0.0,1.0

Station: 5026 speed scores and cummulative difference from calculated score
Entry,5026-1,5026-2,5026-3,Calc'd Score,5026-1 Diff,5026-2 Diff,5026-3 Diff
